X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
-0.8481224,-1.384048,1.706486,-1.160276,-1.192716,-0.3733022,-0.8366806,0.3102014,-0.0077296,0.2080521,-0.3218053,-0.160119,-0.4798272,0.5463166,-0.9789402,-0.3748279,-0.8938809,-0.04636,-1.711296,-0.5354278,0.3362175,-0.3099509,-0.4964203,0.18277,0.5418225,-0.8470918,-1.32724,-0.4794608,0.3642585,-0.4333748,0.3087805,-0.9221504,-0.9353967,-1.929013,0.5706212,-0.8874402,-1.079076,-0.8128757,0.1143002,-0.5836677,-0.534822,0.1063424,-0.6964661,0.1160709,-0.4697166,0.213375,-1.031832,-0.8926468,0.3534316,1.018332
1.255598,2.064414,0.0259446,-0.0862241,0.2543711,1.340047,0.746103,0.3175962,1.138783,-0.1033372,0.3647326,0.6963727,1.382517,0.6980556,0.3876099,0.4962496,0.8535271,1.352488,1.193593,0.42924,-0.5271613,0.3086979,0.6263518,-0.2731993,0.2088346,0.1918776,1.151671,1.034548,1.151431,1.553566,1.388239,-0.4292163,0.5332686,0.1277689,0.6450942,1.662736,0.4939311,0.6546296,1.007982,0.7989816,0.3847292,0.6598469,0.1708455,-0.1785822,-0.417074,0.8671033,0.6936709,0.1864385,0.5946879,0.6372024
0.2163001,0.5787338,0.233286,0.3787626,-0.1957714,-0.7864878,-1.277787,-0.583307,-0.0851489,-0.2592001,-0.6592932,-0.5406462,-0.414441,-0.6927853,-1.024846,-1.113081,-0.7524553,-0.965662,-1.094031,-1.249925,-1.20779,-0.6404041,-0.7199623,-0.8142757,-0.8125476,-0.6054926,-0.9467352,-0.6668123,-0.6132883,-0.6643871,-0.625724,-0.4630302,-0.8858669,-0.655251,-0.6465829,-0.6091234,-0.8897705,-0.788833,-0.4419519,-0.993006,-1.102332,-1.330267,-1.41025,-1.307466,-1.081461,-1.094933,-0.821016,-0.909897,-0.7482914,-0.9302079
1.109637,1.188645,0.0954583,-1.159007,0.0629195,0.8973901,1.074425,0.4797,0.2289068,-0.2877896,-1.08661,-0.467952,0.2436483,0.0052392,-0.3572373,0.0389559,1.24869,0.8063198,0.6829244,-0.1462863,-0.354452,-0.6571813,-1.419547,-1.321018,0.2406578,0.0392596,0.1392015,1.216312,1.213017,-0.6211887,0.911672,0.1267382,-0.5327869,2.108065,-0.687192,0.0256064,0.6256993,-0.3687323,0.2200536,-0.9684409,0.0849112,1.106793,0.3002854,0.0714427,-0.1221452,0.5284592,0.8054316,0.121303,-1.318873,0.6931715
0.5328677,0.1477135,-0.6685139,-0.5036339,0.4662237,-0.3500012,0.2170605,0.595679,0.6353529,1.136669,0.3070286,0.2451022,0.5007256,0.8304752,0.2504956,0.2940197,0.0516602,0.3100693,0.5086392,0.3005207,0.4730817,0.1258451,-0.5553386,-0.5457007,0.7900678,0.9648827,-0.18605,0.5060878,0.6354512,0.2622047,-0.0249333,-0.2115513,0.3788149,-0.5877649,0.3740324,0.0079891,0.6393094,1.035162,0.221384,0.5783758,0.4463532,-0.1790603,0.0212747,-0.1897271,0.1550742,0.7726726,0.4173916,0.3157356,0.4583273,0.7877646
0.7119054,-0.327235,1.489851,0.524374,0.6784934,2.13498,0.3638008,0.5387538,0.8630528,0.7848921,0.9520377,1.256841,1.636854,1.6998,-0.4295274,0.9127488,0.9082953,0.4784195,0.8094279,1.613839,1.796654,1.303553,0.5072683,0.921102,1.204529,1.079071,0.8085313,1.49283,2.682792,0.8449961,2.909936,1.11946,0.8514247,0.7403895,1.588301,-0.266299,0.9953048,0.6462489,2.249918,1.469888,0.6544886,0.8620864,1.173421,0.6644089,0.7683755,1.553441,1.946664,2.064203,2.302678,1.486737
-0.1290443,1.986634,1.125925,1.857553,1.641717,1.415501,1.543368,1.646298,1.394681,1.435289,-0.125786,0.883901,-0.2119952,0.421167,1.242982,1.506313,0.6972378,1.018137,0.8272917,0.8082994,0.7834105,0.5763169,1.286913,1.013244,1.245358,0.9340105,0.3330179,0.9610013,-0.2702605,0.4198913,0.7948388,1.663588,1.485429,0.9648189,0.1843265,0.2334936,0.036639,1.61599,-0.2971466,0.4187437,1.634377,1.394218,0.8023136,0.3659665,-0.1921802,0.6460088,0.4443323,0.4077542,2.021816,0.9079559
-1.85253,-0.3257333,0.2510863,-0.6979381,0.7394766,0.6686135,-1.064187,-0.9508943,0.4432486,-0.1021625,0.4453513,-0.353781,-1.110582,0.0017058,-1.104584,0.0686075,0.8902274,0.179422,0.154394,0.2734415,-0.6758332,0.5076943,1.315597,-0.8259982,0.0147922,0.4978956,0.9664672,-0.0004871,0.6897505,-1.407359,0.5455432,0.3786894,-0.0946526,-0.2786592,0.315993,0.7259455,-0.7027645,-0.3841423,-0.2378734,0.085346,0.4716002,-0.7556655,0.8695554,0.2432062,-0.1715126,0.6202635,0.6078253,-0.0985632,0.7528374,-0.0290911
0.8977103,0.9688932,0.5046997,1.049515,0.9779278,1.292247,0.5574594,0.697606,0.4879335,0.3720145,1.290711,1.509283,0.5662355,0.9213509,0.3890275,0.4874126,0.9190241,0.8655832,0.9322403,1.455957,1.644022,1.142939,1.128644,1.323392,0.8307347,0.6070803,0.24654,0.8939653,1.103918,0.8500044,0.9557683,0.8020873,1.209666,1.116639,1.064896,0.9732094,1.355355,1.035167,1.228447,1.286794,1.573403,0.7620779,1.175877,0.9338613,0.7369681,0.9802219,0.5395613,0.79544,0.9187014,0.4881044
-0.571497,-0.2140238,-0.6300788,-0.6166535,-0.296173,-1.076335,-0.137718,-0.4925867,0.1810941,-1.088938,-0.7588804,-0.2842252,0.4587556,-0.2502501,0.068913,0.2119184,0.1876498,0.0970122,0.6092987,1.051763,0.4202824,0.4372879,0.0236598,-0.2425801,-0.0551104,0.8005207,0.0181703,0.11576,-1.230281,0.5667487,0.3052618,0.3529069,-0.3282009,0.2309792,-0.6641769,0.0035958,-0.2172321,0.485935,0.248429,-0.0600141,-0.4313276,-0.9747803,-0.5064387,-0.1596772,0.2362613,0.7124427,-0.5827263,-0.2702989,-0.9987598,0.6882562
